l = 1564.
Q Cache of size 1000MB storing 1564 rows.
SMO (2D) selected.
Iteration 1, WS = [432, 1056], MinDeltaObj = -2265.979457492955, Gmax = 61.47, Gmin = 1, DeltaGradient = 60.47, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 2 (#BSV = 2)
Iteration 72, WS = [599, 1337], MinDeltaObj = -438.77988264850546, Gmax = 43.25304070039294, Gmin = 19.49611988054904, DeltaGradient = 23.7569208198439, 2D Update: i = 0 -> 89.50044341716273, j = 0 -> 89.50044341716273, #SV = 113 (#BSV = 86)
Iteration 73, WS = [599, 825], MinDeltaObj = -728.0234647137104, Gmax = 38.35049646825605, Gmin = 10.225559245555232, DeltaGradient = 28.124937222700815, 2D Update: i = 89.50044341716273 -> 100, j = 0 -> 10.499556582837272, #SV = 114 (#BSV = 87)
Iteration 74, WS = [335, 1367], MinDeltaObj = -338.2622461596712, Gmax = 37.66423916043219, Gmin = 11.19416209799733, DeltaGradient = 26.47007706243486, 2D Update: i = 58.93151021301347 -> 84.48959569661923, j = 0 -> 25.558085483605765, #SV = 115 (#BSV = 87)
Iteration 75, WS = [395, 1193], MinDeltaObj = -358.63657991328205, Gmax = 29.102893297798985, Gmin = 14.893353053789484, DeltaGradient = 14.209540244009501, 2D Update: i = 17.990597899832636 -> 56.642053511585374, j = 61.34854438824726 -> 100, #SV = 115 (#BSV = 88)
Iteration 76, WS = [90, 1107], MinDeltaObj = -561.0938642615099, Gmax = 31.362516326987738, Gmin = 13.124274949788846, DeltaGradient = 18.23824137719889, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 117 (#BSV = 90)
Iteration 77, WS = [513, 1173], MinDeltaObj = -387.7305634494071, Gmax = 34.52705256280231, Gmin = 14.831394161298256, DeltaGradient = 19.695658401504055, 2D Update: i = 0 -> 93.2689442435251, j = 0 -> 93.2689442435251, #SV = 119 (#BSV = 90)
Iteration 78, WS = [205, 1406], MinDeltaObj = -582.7758859785675, Gmax = 36.03700674967338, Gmin = 14.615261852370011, DeltaGradient = 21.42174489730337, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 121 (#BSV = 92)
Iteration 79, WS = [215, 1106], MinDeltaObj = -452.36480113296494, Gmax = 36.216621553433264, Gmin = 18.384569108759806, DeltaGradient = 17.832052444673458, 2D Update: i = 36.616955784091346 -> 100, j = 0 -> 63.383044215908654, #SV = 122 (#BSV = 93)
Iteration 80, WS = [425, 1279], MinDeltaObj = -386.5122085674858, Gmax = 37.48781953178184, Gmin = 19.90883619944714, DeltaGradient = 17.578983332334698, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 124 (#BSV = 95)
Iteration 81, WS = [775, 1222], MinDeltaObj = -493.6411067961526, Gmax = 39.01612226327384, Gmin = 21.242201560570507, DeltaGradient = 17.773920702703336, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 126 (#BSV = 97)
