l = 1564.
Q Cache of size 1000MB storing 1564 rows.
ISDA (1D) selected.
Iteration 129, WS = [99], MaxViolation = 6.181357864595656, 1D Update: 0 -> 5.619416240541505, #SV = 81 (#BSV = 73)
Iteration 130, WS = [1100], MaxViolation = 6.742231389247495, 1D Update: 0 -> 6.129301262952268, #SV = 82 (#BSV = 73)
Iteration 131, WS = [139], MaxViolation = 6.614325912632933, 1D Update: 0 -> 6.01302355693903, #SV = 83 (#BSV = 73)
Iteration 132, WS = [1230], MaxViolation = 6.760124678633306, 1D Update: 0 -> 6.1455678896666415, #SV = 84 (#BSV = 73)
Iteration 133, WS = [99], MaxViolation = 6.16281281855079, 1D Update: 5.619416240541505 -> 10, #SV = 84 (#BSV = 74)
Iteration 134, WS = [1280], MaxViolation = 5.970757053498012, 1D Update: 3.9607558377353347 -> 9.3887167954608, #SV = 84 (#BSV = 74)
Iteration 135, WS = [551], MaxViolation = 6.76561826896277, 1D Update: 5.0859483706457045 -> 10, #SV = 84 (#BSV = 75)
Iteration 136, WS = [1203], MaxViolation = 3.992923045132957, 1D Update: 0 -> 3.6299300410299606, #SV = 85 (#BSV = 75)
Iteration 137, WS = [139], MaxViolation = 6.918665299051291, 1D Update: 6.01302355693903 -> 10, #SV = 85 (#BSV = 76)
Iteration 138, WS = [1068], MaxViolation = 4.591447046027728, 1D Update: 0 -> 4.174042769116116, #SV = 86 (#BSV = 76)
Iteration 139, WS = [306], MaxViolation = 6.2571476958078, 1D Update: 0 -> 5.688316087097999, #SV = 87 (#BSV = 76)
Iteration 140, WS = [1162], MaxViolation = 6.107551322580836, 1D Update: 0 -> 5.552319384164396, #SV = 88 (#BSV = 76)
Iteration 141, WS = [218], MaxViolation = 6.262856944944582, 1D Update: 7.935121469135998 -> 10, #SV = 88 (#BSV = 77)
Iteration 142, WS = [555], MaxViolation = 4.219970957499635, 1D Update: 5.713997141600737 -> 9.550334375691314, #SV = 88 (#BSV = 77)
Iteration 143, WS = [1475], MaxViolation = 6.060482048980351, 1D Update: 9.014194457673685 -> 10, #SV = 88 (#BSV = 78)
Iteration 144, WS = [1039], MaxViolation = 5.179019432539775, 1D Update: 0 -> 4.708199484127068, #SV = 89 (#BSV = 78)
Iteration 145, WS = [306], MaxViolation = 5.749938337768821, 1D Update: 5.688316087097999 -> 10, #SV = 89 (#BSV = 79)
Iteration 146, WS = [1203], MaxViolation = 5.371664111592952, 1D Update: 3.6299300410299606 -> 8.513261051569007, #SV = 89 (#BSV = 79)
Iteration 147, WS = [420], MaxViolation = 6.383953938527822, 1D Update: 0 -> 5.803594489570746, #SV = 90 (#BSV = 79)
Iteration 148, WS = [1344], MaxViolation = 6.3227487731324965, 1D Update: 0 -> 5.747953430120451, #SV = 91 (#BSV = 79)
Iteration 149, WS = [395], MaxViolation = 6.329147338840744, 1D Update: 0 -> 5.75377030803704, #SV = 92 (#BSV = 79)
Iteration 150, WS = [1203], MaxViolation = 6.332961160557575, 1D Update: 8.513261051569007 -> 10, #SV = 92 (#BSV = 80)
Iteration 151, WS = [1162], MaxViolation = 4.645343300607274, 1D Update: 5.552319384164396 -> 9.775358748352826, #SV = 92 (#BSV = 80)
Iteration 152, WS = [395], MaxViolation = 6.033481385271021, 1D Update: 5.75377030803704 -> 10, #SV = 92 (#BSV = 81)
Iteration 153, WS = [1234], MaxViolation = 4.713978055396731, 1D Update: 0 -> 4.285434595815209, #SV = 93 (#BSV = 81)
Iteration 154, WS = [420], MaxViolation = 6.033851672635133, 1D Update: 5.803594489570746 -> 10, #SV = 93 (#BSV = 82)
Iteration 155, WS = [1344], MaxViolation = 4.80273699540581, 1D Update: 5.747953430120451 -> 10, #SV = 93 (#BSV = 83)
Iteration 156, WS = [76], MaxViolation = 6.143859123200602, 1D Update: 9.368220331040265 -> 10, #SV = 93 (#BSV = 84)
Iteration 157, WS = [252], MaxViolation = 5.701937197818033, 1D Update: 0 -> 5.183579270743666, #SV = 94 (#BSV = 84)
Iteration 158, WS = [1162], MaxViolation = 6.135199223555789, 1D Update: 9.775358748352826 -> 10, #SV = 94 (#BSV = 85)
Iteration 159, WS = [1280], MaxViolation = 5.84653941568857, 1D Update: 9.3887167954608 -> 10, #SV = 94 (#BSV = 86)
Iteration 160, WS = [1100], MaxViolation = 5.195227956694168, 1D Update: 6.129301262952268 -> 10, #SV = 94 (#BSV = 87)
Iteration 161, WS = [252], MaxViolation = 5.069827414258132, 1D Update: 5.183579270743666 -> 9.792513283705603, #SV = 94 (#BSV = 87)
Iteration 162, WS = [1239], MaxViolation = 5.867812285124904, 1D Update: 0 -> 5.334374804659003, #SV = 95 (#BSV = 87)
Iteration 163, WS = [198], MaxViolation = 5.403626771628991, 1D Update: 0 -> 4.9123879742081735, #SV = 96 (#BSV = 87)
Iteration 164, WS = [1234], MaxViolation = 6.039904156434546, 1D Update: 4.285434595815209 -> 9.77625655621025, #SV = 96 (#BSV = 87)
Iteration 165, WS = [742], MaxViolation = 5.711522816490708, 1D Update: 0 -> 5.192293469537007, #SV = 97 (#BSV = 87)
