l = 782.
Q Cache of size 1000MB storing 782 rows.
SMO (2D) selected.
Iteration 1, WS = [1, 386], MinDeltaObj = -85.36474416961836, Gmax = 1, Gmin = -1, DeltaGradient = 2, 2D Update: i = 0 -> 85.36474416961836, j = 0 -> 85.36474416961836, #SV = 2 (#BSV = 0)
Iteration 36, WS = [57, 535], MinDeltaObj = -109.74862230020081, Gmax = 16.536946834334422, Gmin = 3.380704062797264, DeltaGradient = 13.156242771537158, 2D Update: i = 0 -> 75.2509970308444, j = 0 -> 75.2509970308444, #SV = 70 (#BSV = 59)
Iteration 37, WS = [196, 216], MinDeltaObj = -119.31518956128392, Gmax = 16.496870102722475, Gmin = 4.861232894907431, DeltaGradient = 11.635637207815044, 2D Update: i = 33.438472543524874 -> 53.947051047699304, j = 0 -> 20.50857850417443, #SV = 71 (#BSV = 59)
Iteration 38, WS = [473, 637], MinDeltaObj = -306.01044733259647, Gmax = 12.20276338104416, Gmin = 4.899660383548726, DeltaGradient = 7.303102997495435, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 73 (#BSV = 61)
Iteration 39, WS = [545, 289], MinDeltaObj = -102.48927671528581, Gmax = 13.305902737937828, Gmin = 4.188035220777081, DeltaGradient = 9.117867517160747, 2D Update: i = 0 -> 66.85459109656087, j = 0 -> 66.85459109656087, #SV = 75 (#BSV = 61)
Iteration 40, WS = [741, 557], MinDeltaObj = -879.6120414889322, Gmax = 15.468452602175649, Gmin = 7.893201009689696, DeltaGradient = 7.575251592485953, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 77 (#BSV = 63)
Iteration 41, WS = [228, 352], MinDeltaObj = -208.62927309225344, Gmax = 15.525575791819174, Gmin = 6.031116468644997, DeltaGradient = 9.494459323174176, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 79 (#BSV = 65)
Iteration 42, WS = [81, 616], MinDeltaObj = -502.4876257291558, Gmax = 15.71619183997609, Gmin = 5.651163541202086, DeltaGradient = 10.065028298774005, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 81 (#BSV = 67)
Iteration 43, WS = [32, 607], MinDeltaObj = -382.3288598664184, Gmax = 15.75290801084231, Gmin = 6.004890055993135, DeltaGradient = 9.748017954849175, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 83 (#BSV = 69)
Iteration 44, WS = [214, 467], MinDeltaObj = -632.980108365417, Gmax = 15.525970086556292, Gmin = 3.6541592743786335, DeltaGradient = 11.871810812177658, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 85 (#BSV = 71)
Iteration 45, WS = [389, 642], MinDeltaObj = -255.36069195201216, Gmax = 15.777008161291485, Gmin = 3.0721042469707154, DeltaGradient = 12.70490391432077, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 87 (#BSV = 73)
